commodity,region_id,year,official_yield
corn,iowa_us,2016,174.6
corn,iowa_us,2017,176.1
corn,iowa_us,2018,176.4
corn,iowa_us,2019,167.5
corn,iowa_us,2020,181.8
corn,iowa_us,2021,177.0
corn,iowa_us,2022,173.3
corn,iowa_us,2023,174.9
corn,iowa_us,2024,181.0
corn,iowa_us,2025,0.0
corn,iowa_us,2026,0.0
corn,illinois_us,2016,197.0
corn,illinois_us,2017,186.0
corn,illinois_us,2018,214.0
corn,illinois_us,2019,181.0
corn,illinois_us,2020,202.0
corn,illinois_us,2021,200.0
corn,illinois_us,2022,197.0
corn,illinois_us,2023,203.0
corn,illinois_us,2024,210.0
corn,illinois_us,2025,0.0
corn,illinois_us,2026,0.0
soy,mato_grosso_br,2016,53.9
soy,mato_grosso_br,2017,57.8
soy,mato_grosso_br,2018,55.7
soy,mato_grosso_br,2019,58.0
soy,mato_grosso_br,2020,51.5
soy,mato_grosso_br,2021,57.3
soy,mato_grosso_br,2022,50.7
soy,mato_grosso_br,2023,59.1
soy,mato_grosso_br,2024,61.0
soy,mato_grosso_br,2025,63.0
soy,mato_grosso_br,2026,63.0
soy,illinois_us,2016,54.0
soy,illinois_us,2017,52.0
soy,illinois_us,2018,56.0
soy,illinois_us,2019,47.0
soy,illinois_us,2020,51.0
soy,illinois_us,2021,52.0
soy,illinois_us,2022,51.0
soy,illinois_us,2023,55.0
soy,illinois_us,2024,51.7
soy,illinois_us,2025,0.0
soy,illinois_us,2026,0.0
wheat,kansas_us,2016,46.0
wheat,kansas_us,2017,46.0
wheat,kansas_us,2018,35.0
wheat,kansas_us,2019,41.0
wheat,kansas_us,2020,47.0
wheat,kansas_us,2021,30.0
wheat,kansas_us,2022,25.0
wheat,kansas_us,2023,36.0
wheat,kansas_us,2024,28.0
wheat,kansas_us,2025,44.0
wheat,kansas_us,2026,44.0
wheat,rostov_ru,2016,3.8
wheat,rostov_ru,2017,4.2
wheat,rostov_ru,2018,3.5
wheat,rostov_ru,2019,3.9
wheat,rostov_ru,2020,4.3
wheat,rostov_ru,2021,3.6
wheat,rostov_ru,2022,3.1
wheat,rostov_ru,2023,3.7
wheat,rostov_ru,2024,3.9
wheat,rostov_ru,2025,4.1
wheat,rostov_ru,2026,4.1
cotton,south_texas_us,2016,810.0
cotton,south_texas_us,2017,880.0
cotton,south_texas_us,2018,750.0
cotton,south_texas_us,2019,690.0
cotton,south_texas_us,2020,850.0
cotton,south_texas_us,2021,730.0
cotton,south_texas_us,2022,490.0
cotton,south_texas_us,2023,720.0
cotton,south_texas_us,2024,680.0
cotton,south_texas_us,2025,0.0
cotton,south_texas_us,2026,0.0
cotton,north_texas_us,2016,760.0
cotton,north_texas_us,2017,820.0
cotton,north_texas_us,2018,700.0
cotton,north_texas_us,2019,640.0
cotton,north_texas_us,2020,790.0
cotton,north_texas_us,2021,680.0
cotton,north_texas_us,2022,440.0
cotton,north_texas_us,2023,670.0
cotton,north_texas_us,2024,630.0
cotton,north_texas_us,2025,0.0
cotton,north_texas_us,2026,0.0
cotton,xinjiang_tarim_cn,2016,1820.0
cotton,xinjiang_tarim_cn,2017,1910.0
cotton,xinjiang_tarim_cn,2018,1870.0
cotton,xinjiang_tarim_cn,2019,1980.0
cotton,xinjiang_tarim_cn,2020,1930.0
cotton,xinjiang_tarim_cn,2021,2050.0
cotton,xinjiang_tarim_cn,2022,1990.0
cotton,xinjiang_tarim_cn,2023,2080.0
cotton,xinjiang_tarim_cn,2024,2100.0
cotton,xinjiang_tarim_cn,2025,0.0
cotton,xinjiang_tarim_cn,2026,0.0
cotton,xinjiang_north_cn,2016,1650.0
cotton,xinjiang_north_cn,2017,1720.0
cotton,xinjiang_north_cn,2018,1680.0
cotton,xinjiang_north_cn,2019,1790.0
cotton,xinjiang_north_cn,2020,1740.0
cotton,xinjiang_north_cn,2021,1860.0
cotton,xinjiang_north_cn,2022,1800.0
cotton,xinjiang_north_cn,2023,1880.0
cotton,xinjiang_north_cn,2024,1900.0
cotton,xinjiang_north_cn,2025,0.0
cotton,xinjiang_north_cn,2026,0.0
sugar,sao_paulo_br,2016,72.5
sugar,sao_paulo_br,2017,73.2
sugar,sao_paulo_br,2018,69.4
sugar,sao_paulo_br,2019,71.8
sugar,sao_paulo_br,2020,75.3
sugar,sao_paulo_br,2021,65.8
sugar,sao_paulo_br,2022,68.9
sugar,sao_paulo_br,2023,74.1
sugar,sao_paulo_br,2024,72.8
sugar,sao_paulo_br,2025,74.5
sugar,sao_paulo_br,2026,74.5
sugar,uttar_pradesh_in,2016,68.1
sugar,uttar_pradesh_in,2017,71.3
sugar,uttar_pradesh_in,2018,70.4
sugar,uttar_pradesh_in,2019,73.2
sugar,uttar_pradesh_in,2020,72.8
sugar,uttar_pradesh_in,2021,74.1
sugar,uttar_pradesh_in,2022,75.0
sugar,uttar_pradesh_in,2023,76.2
sugar,uttar_pradesh_in,2024,77.0
sugar,uttar_pradesh_in,2025,77.5
sugar,uttar_pradesh_in,2026,77.5
